psraid,sample,int_date,fips,state,cregion,density,usr,vote01,pial1,pial2,pial3,pial4a,pial4b,pial4c,pial4d,pial4e,pial4f,pial5a,pial5b,pial5c,pial6a,pial6b,ql1,ql1a,qc1,hh1,employ,par,sex,age,educ2,hisp,race,inc,reg,party,partyln,ideo,zipcode,iphoneuse,hphoneuse,weight,standwt
101276,1,101212,41011,41,4,1,R,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1, , ,3,2,2,1,72,5,2,1,4,1,2, ,3,97420,2,2,2.68421052631579,.631202484653916
101285,1,101312,24031,24,3,4,U,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1, , ,2,3,2,1,71,8,2,1,8,1,2, ,4,20854,2,2,1.73684210526316,.408425137129004
101286,1,101312,45013,45,3,2,R,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1, , ,1,3,2,2,83,6,2,1,5,1,1, ,1,29928,2,2,1,.235153866831851
101298,1,101312,39099,39,2,3,U,1,1,1,2,1,1,1,2,2,2,1,2,2,2,2,2,1, ,6,3,1,2,46,3,2,2,2,1,2, ,1,44511,1,2,12.5789473684211,2.95798811435855
101307,1,101312,37061,37,3,1,R,1,1,1,1,1,2,1,2,2,1,1,1,1,2,2,1, , ,2,3,2,2,66,5,2,1,8,1,3,2,3,28466,2,2,1.63157894736842,.383672098515125
101328,1,101312,37001,37,3,3,S,1,1,1,1,2,2,2,2,2,2,2,2,1,2,2,1, , ,2,1,1,2,30,7,2,1,6,1,1, ,2,27253,2,2,3.73684210526316,.878732870792706
101329,1,101312,51740,51,3,5,S,1,1,1,2,2,2,2,2,2,2,2,2,1,2,1,1, , ,2,2,2,2,68,4,2,1,6,1,1, ,1,23701,2,2,2.73684210526316,.643579003960855
101333,1,101312,13069,13,3,1,R,3,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1, , ,2,1,2,1,43,3,2,1,2,1,3,1,3,31533,2,2,4.21052631578947,.990121544555162
101349,1,101312,12105,12,3,2,S,1,1,1,2,1,1,1,1,1,1,1,1,2,2,1,1, , ,2,3,2,1,59,4,2,9,5,1,3,1,2,33853,2,2,5.42105263157895,1.27478148861477
101353,1,101312,12009,12,3,3,U,1,1,1,2,2,2,2,2,1,2,2,1,2,2,2,1, , ,2,3,2,1,72,6,2,1,7,1,5,1,2,32940,2,2,1.63157894736842,.383672098515125
101357,1,101312,9013,9,1,3,S,4,1,1,2,2,1,2,2,2,2,2,2,2,2,2,1, , ,1,3,2,1,65,3,2,1,5,1,3,2,3,06238,2,2,1.78947368421053,.420801656435944
101358,1,101312,51630,51,3,5,S,1,1,1,1,1,2,2,1,2,2,2,2,2,2,2,1, , ,2,1,1,1,39,6,2,1,99,1,5,9,8,22401,2,2,4.21052631578947,.990121544555162
101369,1,101412,25001,25,1,3,S,1,1,1,1,2,2,2,2,2,2,2,1,2,2,2,1, , ,2,3,2,2,82,8,2,1,5,1,3,1,3,02574,2,2,1.52631578947368,.358919059901246
101375,1,101312,34023,34,1,5,S,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1, , ,1,1,2,2,62,6,2,1,7,1,2, ,5,08831,2,2,1.31578947368421,.309412982673488
