CaseID,weight1,weight2,tm_start,tm_finish,duration,XTESS089,XPPRACEM,XPARTY7,XIDEO,XREL1,XREL2,Block_Order_First,Block_Order_Second,Image_Shown,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,PPAGE,ppagecat,ppagect4,PPEDUC,PPEDUCAT,PPETHM,PPGENDER,PPHHHEAD,PPHHSIZE,PPHOUSE,PPINCIMP,PPMARIT,PPMSACAT,PPREG4,ppreg9,PPRENT,PPSTATEN,PPT01,PPT25,PPT612,PPT1317,PPT18OV,PPWORK,PPNET
60,.06,.31,10/28/2011,10/31/2011,4330,24,4,7,2,3,3,2,1,24,5,6,10,8,6,6,10,8,2,3,33,2,2,14,4,3,2,1,2,3,19,1,1,4,9,1,93,0,0,0,0,2,1,1
61,.09,.48,10/28/2011,10/28/2011,9,10,4,6,2,1,4,2,1,10,10,9,0,7,10,9,0,6,3,1,63,5,4,14,4,3,1,1,1,1,7,3,1,3,7,1,74,0,0,0,0,1,2,0
62,.36,.6,10/28/2011,10/28/2011,2,13,1,7,1,3,4,2,1,13,0,1,4,4,0,1,6,2,2,3,40,3,2,8,1,4,2,1,2,1,10,5,0,4,8,1,85,0,0,0,1,1,1,1
63,.14,.74,10/28/2011,10/28/2011,2,20,4,2,3,2,4,1,2,20,5,7,8,6,4,7,8,6,3,3,73,6,4,12,4,3,2,1,1,1,8,5,1,3,5,1,52,0,0,0,0,1,5,1
64,1.54,2.62,10/28/2011,10/28/2011,3,4,1,5,5,3,2,2,1,4,0,2,-1,2,0,2,4,2,3,3,31,2,2,9,2,4,1,1,4,3,9,1,1,4,9,2,93,0,0,1,1,2,1,1
65,1.13,.44,10/28/2011,10/28/2011,3,24,1,6,4,2,4,1,2,24,3,4,5,4,3,4,4,4,3,3,51,4,3,12,4,1,2,1,3,1,17,1,1,2,4,1,42,0,0,0,0,3,1,1
66,.19,.39,10/28/2011,10/28/2011,10,17,2,5,4,9,1,2,1,17,4,6,10,6,4,7,10,7,3,4,54,4,3,12,4,2,2,1,5,1,16,1,1,2,3,1,33,0,0,0,0,5,1,1
67,1.49,.58,10/28/2011,10/28/2011,1,19,1,7,2,13, ,2,1,19,2,4,6,4,4,6,6,4,4,3,55,5,3,10,3,1,2,1,3,1,9,3,1,3,5,1,59,0,0,0,0,3,1,1
68,.06,.31,10/28/2011,10/28/2011,17,21,4,5,3,13, ,2,1,21,8,8,10,8,8,8,10,8,3,3,33,2,2,10,3,3,2,1,2,3,12,6,1,4,9,2,93,0,0,0,0,2,3,1
69,.09,.45,10/28/2011,10/28/2011,1,20,4,6,2,13, ,2,1,20,3,4,10,4,3,5,9,5,3,3,23,1,1,12,4,3,2,1,5,1,2,5,1,4,9,2,93,0,0,0,0,5,4,1
70,2.48,.97,10/28/2011,10/28/2011,2,3,1,1,6,2,-1,2,1,3,5,5,10,5,-1,6,10,5,-1,-1,68,6,4,9,2,1,1,0,2,3,2,1,1,3,5,1,59,0,0,0,0,2,2,1
71,3.68,1.44,10/28/2011,10/28/2011,1,23,1,6,3,3,5,2,1,23,1,2,5,3,1,2,4,3,3,1,29,2,1,12,4,1,2,1,3,1,15,1,1,4,8,1,86,1,0,0,0,2,7,1
72,.8,.31,10/28/2011,10/28/2011,1,10,1,3,2,2,4,2,1,10,2,8,8,6,2,8,8,5,4,3,71,6,4,9,2,1,1,1,1,1,7,3,1,3,5,1,52,0,0,0,0,1,5,1
73,.11,.56,10/28/2011,10/28/2011,2,7,4,5,4,13, ,1,2,7,6,4,4,6,5,5,5,6,3,2,54,4,3,12,4,3,1,1,3,2,13,1,1,2,3,1,33,0,0,0,1,2,1,1
74,.19,.4,10/28/2011,10/28/2011,3,18,2,7,3,13, ,1,2,18,2,6,2,10,6,6,6,6,3,3,53,4,3,10,3,2,2,1,1,3,1,5,1,1,2,2,21,0,0,0,0,1,4,1
75,.14,.74,10/28/2011,10/28/2011,1,23,4,6,2,13, ,2,1,23,8,8,9,7,8,7,9,7,3,3,21,1,1,11,3,3,2,0,6,3,9,5,1,4,9,2,93,0,0,0,1,5,1,1
76,6.9,2.7,10/28/2011,10/28/2011,58,18,1,6,3,3,2,1,2,18,2,3,6,8,7,2,6,9,3,2,18,1,1,10,3,1,2,0,10,1,17,5,1,2,3,1,33,1,1,3,2,3,1,1
77,.45,.95,10/28/2011,10/28/2011,3,3,2,5,5,1,5,1,2,3,2,2,4,2,3,3,4,2,4,2,54,4,3,12,4,2,1,1,1,3,8,5,1,3,6,2,62,0,0,0,0,1,1,0
78,.64,1.32,10/28/2011,10/28/2011,2,21,2,7,5,1,4,2,1,21,3,5,7,6,4,6,6,6,3,4,45,4,3,9,2,2,2,0,2,1,14,5,1,1,2,1,22,0,0,0,0,2,1,1
79,.07,.35,10/28/2011,10/28/2011,22,24,4,5,4,8,4,1,2,24,2,6,10,6,2,6,10,6,2,1,41,3,2,12,4,3,2,1,5,1,16,1,1,1,2,1,21,0,2,0,1,2,4,1
80,.8,1.36,10/28/2011,10/28/2011,1,1,1,6,2,2,2,2,1,1,2,2,6,5,5,5,6,5,3,3,33,2,2,12,4,4,1,1,2,1,15,6,1,3,7,1,74,0,0,0,0,2,1,1
81,.99,1.68,10/28/2011,10/28/2011,3,23,6,3,4,11,4,1,2,23,4,6,8,6,3,3,4,3,2,2,18,1,1,7,1,4,2,0,4,1,11,5,1,4,9,1,93,0,0,0,2,2,4,1
82,.52,1.07,10/28/2011,10/28/2011,1,17,2,7,5,1,1,1,2,17,4,6,6,4,2,4,4,4,4,4,61,5,4,10,3,2,2,1,3,1,11,1,1,3,5,1,56,0,0,0,0,3,1,1
83,.1,.18,10/28/2011,10/28/2011,2,12,7,4,7,11,1,2,1,12,10,10,10,10,10,10,10,10,3,5,38,3,2,10,3,4,1,1,2,1,11,1,1,4,9,2,93,0,0,0,0,2,2,1
84,1.38,.54,10/28/2011,10/28/2011,1,19,1,7,2,5,2,1,2,19,4,4,8,6,5,5,5,5,4,2,55,5,3,13,4,1,2,1,3,1,18,1,1,1,1,1,14,0,0,0,1,2,1,1
85,.23,.39,10/28/2011,10/28/2011,2,10,7,7,3,13, ,1,2,10,4,6,8,5,2,3,8,5,2,2,25,2,1,9,2,4,1,1,2,3,11,5,1,1,2,2,23,0,0,0,0,2,1,0
86,.03,.17,10/28/2011,10/28/2011,4,15,4,5,2,2,4,2,1,15,3,3,7,3,3,3,6,4,3,3,63,5,4,12,4,3,2,1,2,1,12,1,1,4,9,1,93,0,0,0,0,2,5,1
87,.53,1.11,10/28/2011,10/28/2011,1,9,2,6,4,1,2,2,1,9,7,7,7,7,7,8,6,7,3,3,35,3,2,12,4,2,1,0,2,3,1,5,1,2,3,2,33,0,0,0,0,2,7,1
88,.59,1.23,10/28/2011,10/28/2011,1,24,2,5,6,1,2,1,2,24,2,2,4,2,2,2,4,2,2,2,37,3,2,13,4,2,2,1,4,1,15,1,1,3,7,1,74,0,0,2,0,2,1,1
89,.34,1.77,10/28/2011,10/28/2011,5,16,4,3,4,13, ,1,2,16,6,4,6,6,8,4,8,8,4,4,28,2,1,13,4,3,2,0,3,3,9,1,1,3,7,2,74,1,0,0,0,2,7,1
91,3.64,1.43,10/28/2011,10/28/2011,1,8,1,6,3,13, ,1,2,8,3,4,5,6,3,3,5,4,4,1,32,2,2,13,4,1,1,1,2,1,17,1,1,1,2,1,21,0,0,0,0,2,1,1
92,.17,.35,10/28/2011,10/28/2011,2,3,2,6,4,3,6,2,1,3,1,6,9,9,5,5,5,5,5,1,54,4,3,10,3,2,1,1,1,3,19,5,1,1,2,2,23,0,0,0,0,1,2,1
93,1.16,.45,10/28/2011,10/28/2011,3,9,1,3,4,13, ,1,2,9,1,5,6,5,1,5,7,5,3,3,71,6,4,12,4,1,1,1,1,3,9,3,1,3,7,2,74,0,0,0,0,1,5,1
94,.7,3.63,10/28/2011,10/28/2011,1,19,4,6,2,3,4,2,1,19,6,7,8,6,4,4,10,6,2,2,21,1,1,10,3,3,2,1,3,3,15,5,1,1,2,2,21,0,0,0,0,3,7,1
95,.65,1.34,10/28/2011,10/28/2011,2,14,2,6,4,1,6,2,1,14,4,10,10,8,4,10,10,8,5,5,42,3,2,4,1,2,2,1,1,3,2,5,1,1,2,2,21,0,0,0,0,1,6,1
96,1.91,.75,10/28/2011,10/28/2011,2,22,1,6,4,11,4,2,1,22,2,3,6,2,3,3,6,3,4,1,62,5,4,12,4,1,2,1,2,1,17,1,1,3,5,1,59,0,0,0,0,2,7,1
97,.77,1.59,10/28/2011,10/28/2011,2,19,2,7,1,1,3,2,1,19,0,6,6,6,0,6,6,6,3,2,30,2,2,11,3,2,2,1,1,3,15,5,1,3,5,1,52,0,0,0,0,1,1,1
98,.12,.64,10/28/2011,10/29/2011,993,23,4,1,6,2,3,2,1,23,4,4,5,4,6,5,6,5,2,2,34,2,2,12,4,3,2,1,4,1,15,1,1,3,7,1,74,1,1,0,0,2,1,1
99,.14,.75,10/28/2011,10/28/2011,0,17,4,5,4,3,5,1,2,17,6,6,6,6,6,6,6,6,3,3,24,1,1,11,3,3,2,1,5,3,12,5,1,3,5,1,59,0,0,0,0,5,1,1
100,.44,.76,10/28/2011,10/28/2011,0,16,1,4,-1,-1, ,2,1,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,25,2,1,11,3,4,2,0,1,1,11,5,1,3,7,1,74,0,0,0,0,1,1,1
101,1.54,8.04,10/28/2011,10/28/2011,29,13,4,5,2,13, ,2,1,13,1,2,6,3,2,4,6,4,5,1,23,1,1,9,2,3,2,1,4,3,9,6,1,4,8,2,88,0,2,0,0,2,4,1
102,2.01,.79,10/28/2011,10/28/2011,2,11,1,7,4,2,2,1,2,11,4,5,5,5,4,4,4,4,3,3,75,7,4,12,4,1,1,1,2,2,14,1,1,2,4,1,42,0,0,0,0,2,5,1
103,.39,.66,10/28/2011,10/28/2011,5,2,5,5,4,3,6,2,1,2,10,10,10,10,10,10,10,10,3,1,25,2,1,10,3,4,1,1,5,2,13,6,1,4,9,1,93,0,0,0,0,5,1,1
104,1.01,2.1,10/28/2011,10/28/2011,1,24,2,5,4,2,2,2,1,24,3,3,6,2,2,3,6,2,3,1,67,6,4,12,4,2,2,1,2,1,17,1,1,1,2,1,21,0,0,0,0,2,1,0
105,.24,.41,10/28/2011,10/28/2011,0,11,6,7,2,13, ,2,1,11,4,2,4,2,4,3,4,2,2,1,50,4,3,10,3,4,1,1,2,1,15,3,1,4,9,1,93,0,0,0,0,2,1,1
106,4.31,1.69,10/28/2011,10/28/2011,10,8,1,2,5,2,5,2,1,8,-1,2,7,4,2,2,6,3,3,1,35,3,2,10,3,1,1,1,5,4,13,1,0,2,3,1,33,0,1,2,0,2,1,1
107,.3,.51,10/28/2011,10/28/2011,1,13,1,6,4,3,2,1,2,13,4,8,6,6,5,6,6,5,4,1,60,5,4,10,3,4,2,1,2,1,14,1,1,4,8,3,85,0,0,0,0,2,1,1
